topicId,topic,domainId,domain,subdomain,subdomainId,Tier,CS Courses
IM-01-06,"Declarative and navigational queries, use of links",IM,Information Management,InformationManagementConcepts,IM-01,Tier 2,
IM-01-07,Analysis and indexing,IM,Information Management,InformationManagementConcepts,IM-01,Tier 2,
IM-01-08,"Quality issues: reliability, scalability, efficiency, and effectiveness",IM,Information Management,InformationManagementConcepts,IM-01,Tier 2,
IM-02-01,Approaches to and evolution of database systems,IM,Information Management,Database Systems ,IM-02,Tier 2,
IM-02-02,Components of database systems ,IM,Information Management,Database Systems ,IM-02,Tier 2,COMP 2605
IM-02-03,"Design of core DBMS functions (e.g., query mechanisms, transaction management, buffer management, ",IM,Information Management,Database Systems ,IM-02,Tier 2,
IM-02-04,Database architecture and data independence,IM,Information Management,Database Systems ,IM-02,Tier 2,
IM-02-05,Use of a declarative query language,IM,Information Management,Database Systems ,IM-02,Tier 2,"COMP 2605, INFO 2602"
IM-02-06,Systems supporting structured and/or stream content,IM,Information Management,Database Systems ,IM-02,Tier 2,
IM-02-07,"Approaches for managing large volumes of data (e.g., noSQL database systems, use of MapReduce). ",IM,Information Management,Database Systems ,IM-02,Elective,COMP 3613
IM-03-01,Data modeling,IM,Information Management,Data Modeling ,IM-03,Tier 2,"COMP 2605, INFO 2602"
IM-03-02,"Conceptual models (e.g., entity-relationship, UML diagrams) ",IM,Information Management,Data Modeling ,IM-03,Tier 2,"COMP 2605,COMP 3607"
IM-03-03,Spreadsheet models,IM,Information Management,Data Modeling ,IM-03,Tier 2,
IM-03-04,Relational data models,IM,Information Management,Data Modeling ,IM-03,Tier 2,COMP 2605
IM-03-05,Object-oriented models(cross-reference PL/Object-Oriented Programming),IM,Information Management,Data Modeling ,IM-03,Tier 2,COMP 3607
IM-03-06,"Semi-structured data model (expressed using DTD or XML Schema, for example)",IM,Information Management,Data Modeling ,IM-03,Tier 2,INFO 2602
IM-04-01,The impact of indices on query performance,IM,Information Management,Indexing,IM-04,Elective,
IM-04-02,The basic structure of an index,IM,Information Management,Indexing,IM-04,Elective,
IM-04-03,Keeping a buffer of data in memory,IM,Information Management,Indexing,IM-04,Elective,
IM-04-04,Creating indexes with SQL,IM,Information Management,Indexing,IM-04,Elective,COMP 2605
IM-04-05,Indexing text,IM,Information Management,Indexing,IM-04,Elective,
IM-04-06,"Indexing the web (e.g., web crawling)",IM,Information Management,Indexing,IM-04,Elective,
IM-05-01,Mapping conceptual schema to a relational schema,IM,Information Management,Relational Databases ,IM-05,Elective,COMP 2605
IM-05-02,Entity and referential integrity,IM,Information Management,Relational Databases ,IM-05,Elective,COMP 2605
IM-05-03,Relational algebra and relational calculus,IM,Information Management,Relational Databases ,IM-05,Elective,COMP 2605
IM-05-04,Relational Database design,IM,Information Management,Relational Databases ,IM-05,Elective,COMP 2605
IM-05-05,Functional dependency,IM,Information Management,Relational Databases ,IM-05,Elective,COMP 2605
IM-05-06,Decomposition of a schema; lossless-join and dependency-preservation properties of a decomposition,IM,Information Management,Relational Databases ,IM-05,Elective,
IM-05-07,"Candidate keys, superkeys,and closure of a set of attributes",IM,Information Management,Relational Databases ,IM-05,Elective,COMP 2605
IM-05-08,Normal forms (BCNF),IM,Information Management,Relational Databases ,IM-05,Elective,
IM-05-09,Multi-valued dependency (4NF),IM,Information Management,Relational Databases ,IM-05,Elective,
IM-05-10,"Join dependency (PJNF, 5NF)",IM,Information Management,Relational Databases ,IM-05,Elective,
IM-05-11,Representation theory,IM,Information Management,Relational Databases ,IM-05,Elective,
IM-06-01,Overview of database languages,IM,Information Management,Query Languages ,IM-06,Elective,
IM-06-02,"SQL (data definition, query formulation, update sublanguage, constraints, integrity)",IM,Information Management,Query Languages ,IM-06,Elective,"COMP 2605, INFO 2602"
IM-06-03,Selections,IM,Information Management,Query Languages ,IM-06,Elective,COMP 2605
IM-06-04,Projections,IM,Information Management,Query Languages ,IM-06,Elective,COMP 2605
IM-06-05,Select-project-join,IM,Information Management,Query Languages ,IM-06,Elective,"COMP 2605,COMP 1600"
IM-06-06,Aggregates andgroup-by ,IM,Information Management,Query Languages ,IM-06,Elective,COMP 2605
IM-06-07,Subqueries,IM,Information Management,Query Languages ,IM-06,Elective,COMP 2605
IM-06-08,QBE and 4th-generation environments,IM,Information Management,Query Languages ,IM-06,Elective,
IM-06-09,Different ways to invoke non-procedural queries in conventional languages,IM,Information Management,Query Languages ,IM-06,Elective,
IM-06-10,"Introduction to other major query languages (e.g., XPATH, SPARQL)",IM,Information Management,Query Languages ,IM-06,Elective,
IM-06-11,Stored procedures,IM,Information Management,Query Languages ,IM-06,Elective,
IM-07-01,Transactions ,IM,Information Management,Transaction Processing ,IM-07,Elective,COMP 2605
IM-07-02,Failure and recovery,IM,Information Management,Transaction Processing ,IM-07,Elective,COMP 2605
IM-07-03,Concurrency control,IM,Information Management,Transaction Processing ,IM-07,Elective,COMP 2605
IM-07-04,"Interaction of transaction management with storage, especially buffering",IM,Information Management,Transaction Processing ,IM-07,Elective,
IM-08-01,Distributed DBMS,IM,Information Management,Distributed Databases ,IM-08,Elective,
IM-08-02,Parallel DBMS,IM,Information Management,Distributed Databases ,IM-08,Elective,COMP 3610
IM-09-01,Storage and file structure,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-09-02,Indexed files,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-09-03,Hashed files,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-09-04,Signature files,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-09-05,B-trees,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-09-06,Files with dense index,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-09-07,Files with variable length records,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-09-08,Database efficiency and tuning,IM,Information Management,Physical Database Design ,IM-09,Elective,
IM-10-01,Usesof data mining,IM,Information Management,Data Mining ,IM-10,Elective,
IM-10-02,Data mining algorithms,IM,Information Management,Data Mining ,IM-10,Elective,
IM-10-03,Associative and sequential patterns,IM,Information Management,Data Mining ,IM-10,Elective,
IM-10-04,Data clustering,IM,Information Management,Data Mining ,IM-10,Elective,
IM-10-05,Market basket analysis,IM,Information Management,Data Mining ,IM-10,Elective,
IM-10-06,Data cleaning,IM,Information Management,Data Mining ,IM-10,Elective,
IM-10-07,Data visualization(cross-reference GV/Visualization and CN/Interactive Visualization),IM,Information Management,Data Mining ,IM-10,Elective,
IM-11-01,"Documents, electronic publishing, markup, and markup languages",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-02,"Tries, inverted files, PAT trees, signature files, indexing",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-03,"Morphological analysis, stemming, phrases, stop lists",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-04,"Term frequency distributions, uncertainty, fuzziness, weighting",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-05,"Vector space, probabilistic, logical, and advanced models",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-06,"Information needs, relevance, evaluation, effectiveness",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-07,"Thesauri, ontologies, classification and categorization, metadata",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-08,"Bibliographic information, bibliometrics, citations",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-09,Routing and (community) filtering,IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-10,"Multimedia search, information seeking behavior, user modeling, feedback",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-11,Information summarization and visualization,IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-12,"Faceted search (e.g., using citations, keywords, classification schemes)",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-13,Digital libraries,IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-14,"Digitization, storage, interchange, digital objects, composites, and packages",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-15,Metadata and cataloging,IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-16,"Naming,repositories, archives",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-17,"Archiving and preservation, integrity",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-18,"Spaces (conceptual, geographical, 2/3D, VR)",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-19,"Architectures (agents, buses, wrappers/mediators), interoperability",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-20,"Services (searching, linking, browsing, and so forth)",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-11-21,"Intellectual property rightsmanagement, privacy, and protection (watermarking)",IM,Information Management,Information Storage and Retrieval,IM-11,Elective,
IM-12-01,"Input and output devices, device drivers, control signals and protocols, DSPs",IM,Information Management,Multimedia Systems,IM-12,Elective,
IM-12-02,"Standards (e.g., audio, graphics, video)",IM,Information Management,Multimedia Systems,IM-12,Elective,
IM-12-03,"Applications, media editors, authoring systems, and authoring",IM,Information Management,Multimedia Systems,IM-12,Elective,
IM-12-04,"Streams/structures, capture/represent/transform, spaces/domains, compression/coding",IM,Information Management,Multimedia Systems,IM-12,Elective,INFO 2602
IM-12-05,"Content-based analysis, indexing, and retrieval of audio, images, animation, and video",IM,Information Management,Multimedia Systems,IM-12,Elective,
IM-12-06,"Presentation, rendering, synchronization, multi-modal integration/interfaces",IM,Information Management,Multimedia Systems,IM-12,Elective,
IM-12-07,"Real-time delivery, quality of service (including performance), capacity planning, audio/video ",IM,Information Management,Multimedia Systems,IM-12,Elective,
IS-01-01,"Overview of AI problems, examples of successful recent AI applications",IS,Intelligent Systems,Fundamental Issues ,IS-01,Tier 2,COMP 3608
IS-01-02,What is intelligent behavior? ,IS,Intelligent Systems,Fundamental Issues ,IS-01,Tier 2,COMP 3608
IS-01-03,Problem characteristics,IS,Intelligent Systems,Fundamental Issues ,IS-01,Tier 2,COMP 3608
IS-01-04,Nature of agents,IS,Intelligent Systems,Fundamental Issues ,IS-01,Tier 2,COMP 3608
IS-01-05,Philosophical and ethical issues. [elective],IS,Intelligent Systems,Fundamental Issues ,IS-01,Tier 2,COMP 3608
IS-02-01,"Problem spaces (states, goals and operators),  problem solving by search",IS,Intelligent Systems,Basic Search Strategies ,IS-02,Tier 2,COMP 3608
IS-02-02,Factored representation (factoring state into variables),IS,Intelligent Systems,Basic Search Strategies ,IS-02,Tier 2,COMP 3608
IS-02-03,"Uninformed search (breadth-first, depth-first, depth-first with iterative deepening)  ",IS,Intelligent Systems,Basic Search Strategies ,IS-02,Tier 2,COMP 3608
IS-02-04,"Heuristics and informed search (hill-climbing, generic best-first, A*)  ",IS,Intelligent Systems,Basic Search Strategies ,IS-02,Tier 2,COMP 3608
IS-02-05,Space and time efficiency of search  ,IS,Intelligent Systems,Basic Search Strategies ,IS-02,Tier 2,COMP 3608
IS-02-06,Two-player games (introduction to minimax search)  ,IS,Intelligent Systems,Basic Search Strategies ,IS-02,Tier 2,COMP 3608
IS-02-07,Constraint satisfaction (backtracking and local search methods) ,IS,Intelligent Systems,Basic Search Strategies ,IS-02,Tier 2,COMP 3608
IS-03-01,Review of propositional and predicate logic (cross-reference DS/Basic Logic),IS,Intelligent Systems,Basic Knowledge Representation and Reasoning ,IS-03,Tier 2,
IS-03-02,Resolution and theorem proving (propositional logic only),IS,Intelligent Systems,Basic Knowledge Representation and Reasoning ,IS-03,Tier 2,
IS-03-03,"Forward chaining, backward chaining",IS,Intelligent Systems,Basic Knowledge Representation and Reasoning ,IS-03,Tier 2,
IS-03-04,"Review of probabilistic reasoning, Bayes theorem (cross-reference with DS/Discrete Probability)",IS,Intelligent Systems,Basic Knowledge Representation and Reasoning ,IS-03,Tier 2,COMP 3608
IS-04-01,"Definition and examples of broad variety of machine learning tasks, including classification ",IS,Intelligent Systems,Basic Machine Learning ,IS-04,Tier 2,COMP 3608
IS-04-02,Inductive learning,IS,Intelligent Systems,Basic Machine Learning ,IS-04,Tier 2,COMP 3608
IS-04-03,"Simple statistical-based learning, such as Naive Bayesian Classifier, decision trees",IS,Intelligent Systems,Basic Machine Learning ,IS-04,Tier 2,COMP 3608
IS-04-04,The over-fitting problem,IS,Intelligent Systems,Basic Machine Learning ,IS-04,Tier 2,COMP 3608
IS-04-05,Measuring classifier accuracy,IS,Intelligent Systems,Basic Machine Learning ,IS-04,Tier 2,COMP 3608
IS-05-01,"Constructing search trees, dynamic search space, combinatorial explosion of search space",IS,Intelligent Systems,Advanced Search ,IS-05,Elective,
IS-05-02,Stochastic search,IS,Intelligent Systems,Advanced Search ,IS-05,Elective,
IS-05-03,"Implementation of A* search, beam search",IS,Intelligent Systems,Advanced Search ,IS-05,Elective,COMP 3608
IS-05-04,"Minimax search, alpha-beta pruning",IS,Intelligent Systems,Advanced Search ,IS-05,Elective,
IS-05-05,Expectimax search (MDP-solving) and chance nodes,IS,Intelligent Systems,Advanced Search ,IS-05,Elective,
IS-06-01,Knowledge representation issues,IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-02,"Non-monotonic reasoning (e.g., non-classical logics, default reasoning)",IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-03,Argumentation,IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-04,"Reasoning about action and change (e.g., situation and event calculus)",IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-05,Temporal and spatial reasoning,IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-06,Rule-based Expert Systems,IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-07,Semantic networks,IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-08,Model-based and Case-based reasoning,IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-06-09,Planning:,IS,Intelligent Systems,Advanced Representation and Reasoning,IS-06,Elective,
IS-07-01,Review of basic probability (cross-reference DS/Discrete Probability),IS,Intelligent Systems,Reasoning Under Uncertainty,IS-07,Elective,COMP 3608
IS-07-02,Random variables and probability distributions,IS,Intelligent Systems,Reasoning Under Uncertainty,IS-07,Elective,"COMP 3608,COMP 1602"
IS-07-03,Conditional Independence,IS,Intelligent Systems,Reasoning Under Uncertainty,IS-07,Elective,COMP 3608
IS-07-04,Knowledge representations,IS,Intelligent Systems,Reasoning Under Uncertainty,IS-07,Elective,COMP 3608
IS-07-05,Decision Theory,IS,Intelligent Systems,Reasoning Under Uncertainty,IS-07,Elective,COMP 3608
IS-08-01,Definitions of agents,IS,Intelligent Systems,Agents ,IS-08,Elective,
IS-08-02,"Agent architectures (e.g., reactive, layered, cognitive)",IS,Intelligent Systems,Agents ,IS-08,Elective,
IS-08-03,Agent theory,IS,Intelligent Systems,Agents ,IS-08,Elective,
IS-08-04,"Rationality, game theory",IS,Intelligent Systems,Agents ,IS-08,Elective,
IS-08-05,"Software agents, personal assistants, and information access",IS,Intelligent Systems,Agents ,IS-08,Elective,
IS-08-06,Learning agents,IS,Intelligent Systems,Agents ,IS-08,Elective,
IS-08-07,Multi-agent systems,IS,Intelligent Systems,Agents ,IS-08,Elective,
IS-09-01,Deterministic and stochastic grammars,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-02,Parsing algorithms,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-03,Representing meaning / Semantics,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-04,Corpus-based methods,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-05,N-grams and HMMs,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-06,Smoothing and backoff,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-07,Examples of use: POS tagging and morphology,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-08,Information retrieval (Cross-reference IM/Information Storage and Retrieval),IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-09,Information extraction,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-10,Language translation,IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-09-11,"Text classification, categorization",IS,Intelligent Systems,Natural Language Processing ,IS-09,Elective,
IS-10-01,Definition and examples of broad variety of machine learning tasks,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,COMP 3608
IS-10-02,"General statistical-based learning, parameter estimation (maximum likelihood)",IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,COMP 3608
IS-10-03,Inductive logic programming (ILP),IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-10-04,Supervised learning  ,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,COMP 3608
IS-10-05,Ensembles,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-10-06,Nearest-neighbor algorithms,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-10-07,Unsupervised Learning and clustering,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,COMP 3608
IS-10-08,Semi-supervised learning,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-10-09,Learning graphical models (Cross-reference IS/Reasoning under Uncertainty)  ,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-10-10,"Performance evaluation (such as cross-validation, area under ROC curve)",IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,COMP 3608
IS-10-11,Learning theory,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-10-12,"The problem of overfitting, the curse of dimensionality  ",IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,COMP 3608
IS-10-13,Reinforcement learning ,IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-10-14,Application of Machine Learning algorithms to Data Mining (cross-reference IM/Data Mining),IS,Intelligent Systems,Advanced MachineLearning ,IS-10,Elective,
IS-11-01,Overview: problems and progress,IS,Intelligent Systems,Robotics,IS-11,Elective,
IS-11-02,Configuration space and environmental maps,IS,Intelligent Systems,Robotics,IS-11,Elective,
IS-11-03,Interpreting uncertain sensor data,IS,Intelligent Systems,Robotics,IS-11,Elective,
IS-11-04,Localizing and mapping,IS,Intelligent Systems,Robotics,IS-11,Elective,
IS-11-05,Navigation and control,IS,Intelligent Systems,Robotics,IS-11,Elective,
IS-11-06,Motion planning,IS,Intelligent Systems,Robotics,IS-11,Elective,
IS-11-07,Multiple-robot coordination,IS,Intelligent Systems,Robotics,IS-11,Elective,
IS-12-01,Computer vision,IS,Intelligent Systems,Perception and Computer Vision ,IS-12,Elective,
IS-12-02,Audio and speech recognition,IS,Intelligent Systems,Perception and Computer Vision ,IS-12,Elective,
IS-12-03,Modularity in recognition,IS,Intelligent Systems,Perception and Computer Vision ,IS-12,Elective,
IS-12-04,Approaches to pattern recognition (cross-reference IS/Advanced Machine Learning) ,IS,Intelligent Systems,Perception and Computer Vision ,IS-12,Elective,
IS-13-01,"Organization of the Internet (Internet Service Providers, Content Providers, etc.)",IS,Net Centric Computing,Introduction ,IS-13,Tier 1,
NC-01-01,"Naming and address schemes (DNS, IP addresses, Uniform Resource Identifiers, etc.)",NC,Net Centric Computing,Networked Applications ,NC-01,Tier 1,"COMP 2602, INFO 2603"
NC-01-02,"Distributed applications (client/server, peer-to-peer, cloud, etc.)",NC,Net Centric Computing,Networked Applications ,NC-01,Tier 1,COMP 2602
NC-01-03,HTTP as an application layer protocol,NC,Net Centric Computing,Networked Applications ,NC-01,Tier 1,COMP 2602
NC-01-04,Multiplexing with TCP and UDP,NC,Net Centric Computing,Networked Applications ,NC-01,Tier 1,COMP 2602
NC-01-05,Socket APIs,NC,Net Centric Computing,Networked Applications ,NC-01,Tier 1,COMP 2602
NC-02-01,"Error control (retransmission techniques, timers)",NC,Net Centric Computing,Reliable Data Delivery ,NC-02,Tier 2,COMP 2602
NC-02-02,"Flow control (acknowledgements, sliding window)",NC,Net Centric Computing,Reliable Data Delivery ,NC-02,Tier 2,COMP 2602
NC-02-03,Performance issues (pipelining),NC,Net Centric Computing,Reliable Data Delivery ,NC-02,Tier 2,
NC-02-04,TCP,NC,Net Centric Computing,Reliable Data Delivery ,NC-02,Tier 2,COMP 2602
NC-03-01,Routing versus forwarding,NC,Net Centric Computing,Routing and Forwarding ,NC-03,Tier 2,INFO 2601
NC-03-02,Static routing,NC,Net Centric Computing,Routing and Forwarding ,NC-03,Tier 2,
NC-03-03,Internet Protocol (IP),NC,Net Centric Computing,Routing and Forwarding ,NC-03,Tier 2,COMP 2602
NC-03-04,Scalability issues (hierarchical addressing),NC,Net Centric Computing,Routing and Forwarding ,NC-03,Tier 2,
NC-04-01,Multiple Access Problem,NC,Net Centric Computing,Local Area Networks ,NC-04,Tier 2,COMP 2602
NC-04-02,"Common approaches to multiple access (exponential-backoff, time division multiplexing, etc)",NC,Net Centric Computing,Local Area Networks ,NC-04,Tier 2,
NC-04-03,Local Area Networks,NC,Net Centric Computing,Local Area Networks ,NC-04,Tier 2,COMP 2602
NC-04-04,Ethernet,NC,Net Centric Computing,Local Area Networks ,NC-04,Tier 2,COMP 2602
NC-04-05,Switching,NC,Net Centric Computing,Local Area Networks ,NC-04,Tier 2,COMP 2602
NC-05-01,Need for resource allocation,NC,Net Centric Computing,Resource Allocation,NC-05,Tier 2,
NC-05-02,"Fixed allocation (TDM, FDM, WDM) versus dynamic allocation",NC,Net Centric Computing,Resource Allocation,NC-05,Tier 2,COMP 2602
NC-05-03,End-to-end versus network assisted approaches,NC,Net Centric Computing,Resource Allocation,NC-05,Tier 2,
NC-05-04,Fairness,NC,Net Centric Computing,Resource Allocation,NC-05,Tier 2,
NC-05-05,Principles of congestion control,NC,Net Centric Computing,Resource Allocation,NC-05,Tier 2,COMP 2602
NC-05-06,"Approaches to Congestion (e.g., Content Distribution Networks) ",NC,Net Centric Computing,Resource Allocation,NC-05,Tier 2,COMP 2602
NC-06-01,Principles of cellular networks,NC,Net Centric Computing,Mobility,NC-06,Tier 2,"COMP 3606,COMP 2602"
NC-06-02,802.11 networks,NC,Net Centric Computing,Mobility,NC-06,Tier 2,COMP 3606
NC-06-03,Issues in supporting mobile nodes (home agents),NC,Net Centric Computing,Mobility,NC-06,Tier 2,
NC-07-01,Social networks overview,NC,Net Centric Computing,Social Networking,NC-07,Elective,
NC-07-02,Example social network platforms,NC,Net Centric Computing,Social Networking,NC-07,Elective,
NC-07-03,Structure of social network graphs,NC,Net Centric Computing,Social Networking,NC-07,Elective,
NC-07-04,Social network analysis,NC,Net Centric Computing,Social Networking,NC-07,Elective,
NC-07-02,"Switching techniques (e.g., circuit, packet)",IS,Net Centric Computing,Introduction ,NC-07,Tier 1,COMP 2602
NC-07-04,"Layering principles (encapsulation, multiplexing)",IS,Net Centric Computing,Introduction ,NC-07,Tier 1,COMP 2602
NC-07-05,"Roles of the different layers (application, transport, network, datalink, physical)",IS,Net Centric Computing,Introduction ,NC-07,Tier 1,COMP 2602
NC-07-03,"Physical pieces of a network, including hosts, routers, switches, ISPs, wireless, LAN, access point, and ",IS,Net Centric Computing,Introduction ,NC-07,Tier 1,COMP 2602
OS-01-01,Role and purpose of the operating system,OS,Operating System,Overview of Operating Systems,OS-01,Tier 1,"COMP 2604, INFO 2603"
OS-01-02,Functionality of a typical operating system,OS,Operating System,Overview of Operating Systems,OS-01,Tier 1,"COMP 3606,COMP 1600,COMP 2604, INFO 2603"
OS-01-03,"Mechanisms to support client-server models, hand-held devices",OS,Operating System,Overview of Operating Systems,OS-01,Tier 1,"COMP 3606, INFO 2603"
OS-01-04,"Design issues (efficiency, robustness, flexibility, portability, security, compatibility)",OS,Operating System,Overview of Operating Systems,OS-01,Tier 1,INFO 2603
OS-01-05,"Influences of security,networking, multimedia, windowing systems",OS,Operating System,Overview of Operating Systems,OS-01,Tier 1,
OS-02-01,"Structuring methods (monolithic, layered, modular, micro-kernel models)",OS,Operating System,Operating System Principles ,OS-02,Tier 1,
OS-02-02,"Abstractions, processes, and resources",OS,Operating System,Operating System Principles ,OS-02,Tier 1,"COMP 2604, INFO 2603"
OS-02-03,Concepts of application program interfaces (APIs),OS,Operating System,Operating System Principles ,OS-02,Tier 1,"COMP 3606,COMP 2604"
OS-02-04,The evolution of hardware/software techniquesand application needs,OS,Operating System,Operating System Principles ,OS-02,Tier 1,
OS-02-05,Device organization,OS,Operating System,Operating System Principles ,OS-02,Tier 1,
OS-02-06,Interrupts: methods and implementations,OS,Operating System,Operating System Principles ,OS-02,Tier 1,COMP 2604
OS-02-07,"Concept of user/system state and protection, transition to kernel mode",OS,Operating System,Operating System Principles ,OS-02,Tier 1,COMP 2604
OS-03-01,States and state diagrams (cross-reference SF/Stateand State Machines),OS,Operating System,Concurrency ,OS-03,Tier 2,
OS-03-02,"Structures (ready list, process control blocks, and so forth)",OS,Operating System,Concurrency ,OS-03,Tier 2,
OS-03-03,Dispatching and context switching,OS,Operating System,Concurrency ,OS-03,Tier 2,COMP 2604
OS-03-04,The role of interrupts,OS,Operating System,Concurrency ,OS-03,Tier 2,COMP 2604
OS-03-05,Managing atomic access to OS objects,OS,Operating System,Concurrency ,OS-03,Tier 2,
OS-03-06,Implementing synchronization primitives,OS,Operating System,Concurrency ,OS-03,Tier 2,COMP 2604
OS-03-07,"Multiprocessor issues (spin-locks, reentrancy) (cross-reference SF/Parallelism)",OS,Operating System,Concurrency ,OS-03,Tier 2,
OS-04-01,"Preemptive and non-preemptive scheduling (cross-reference SF/Resource Allocation and Scheduling, ",OS,Operating System,Scheduling and Dispatch ,OS-04,Tier 2,COMP 2604
OS-04-02,"Schedulers and policies (cross-reference SF/Resource Allocation and Scheduling, PD/Parallel ",OS,Operating System,Scheduling and Dispatch ,OS-04,Tier 2,COMP 2604
OS-04-03,Processes and threads (cross-reference SF/ C omputational paradigms),OS,Operating System,Scheduling and Dispatch ,OS-04,Tier 2,COMP 2604
OS-04-04,Deadlines and real-time issues,OS,Operating System,Scheduling and Dispatch ,OS-04,Tier 2,
OS-05-01,Review of physical memory and memory management hardware,OS,Operating System,Memory Management ,OS-05,Tier 2,"COMP 2604, INFO 2603"
OS-05-02,Working sets and thrashing,OS,Operating System,Memory Management ,OS-05,Tier 2,COMP 2604
OS-05-03,Caching(cross-reference AR/Memory System Organization and Architecture),OS,Operating System,Memory Management ,OS-05,Tier 2,COMP 2604
OS-06-01,Overview of system security,OS,Operating System,Security and Protection ,OS-06,Tier 2,
OS-06-02,Policy/mechanism separation,OS,Operating System,Security and Protection ,OS-06,Tier 2,
OS-06-03,Security methods and devices,OS,Operating System,Security and Protection ,OS-06,Tier 2,
OS-06-04,"Protection, access control, and authentication",OS,Operating System,Security and Protection ,OS-06,Tier 2,
OS-06-05,Backups,OS,Operating System,Security and Protection ,OS-06,Tier 2,
OS-07-01,"Types of virtualization (including Hardware/Software, OS, Server, Service, Network) ",OS,Operating System,Virtual Machines ,OS-07,Elective,"COMP 2604, INFO 2603"
OS-07-02,Paging and virtual memory,OS,Operating System,Virtual Machines ,OS-07,Elective,"COMP 1600,COMP 2604, INFO 2603"
OS-07-03,Virtual file systems,OS,Operating System,Virtual Machines ,OS-07,Elective,"COMP 2604, INFO 2603"
OS-07-04,Hypervisors ,OS,Operating System,Virtual Machines ,OS-07,Elective,
OS-07-05,Portable virtualization; emulation vs. isolation,OS,Operating System,Virtual Machines ,OS-07,Elective,
OS-07-06,Cost of virtualization,OS,Operating System,Virtual Machines ,OS-07,Elective,
OS-08-01,Characteristics of serial and parallel devices,OS,Operating System,Device Management,OS-08,Elective,"COMP 2604, INFO 2603"
