Topic ID,SubDomain ID,Sub Domain,Domain,Domain ID,Courses,Topic,Courses
IM-02-01,IM-02,Database Systems ,Information Management,IM,COMP 2605,Approaches to and evolution of database systems,COMP 2605
IM-02-02,IM-02,Database Systems ,Information Management,IM,COMP 2605,Components of database systems ,COMP 2605
IM-02-03,IM-02,Database Systems ,Information Management,IM,COMP 2605,"Design of core DBMS functions (e.g., query mechanisms, transaction management, buffer management, ",COMP 2605
IM-02-04,IM-02,Database Systems ,Information Management,IM,COMP 2605,Database architecture and data independence,COMP 2605
IM-02-05,IM-02,Database Systems ,Information Management,IM,COMP 2605,Use of a declarative query language,COMP 2605
IM-02-06,IM-02,Database Systems ,Information Management,IM,COMP 2605,Systems supporting structured and/or stream content,COMP 2605
IM-02-07,IM-02,Database Systems ,Information Management,IM,,"Approaches for managing large volumes of data (e.g., noSQL database systems, use of MapReduce). ",
IM-03-01,IM-03,Data Modeling ,Information Management,IM,"COMP 2605,INFO 2602",Data modeling,"COMP 2605,INFO 2602"
IM-03-02,IM-03,Data Modeling ,Information Management,IM,"COMP 2605,COMP 3607,INFO 2602","Conceptual models (e.g., entity-relationship, UML diagrams) ","COMP 2605,COMP 3607,INFO 2602"
IM-03-03,IM-03,Data Modeling ,Information Management,IM,,Spreadsheet models,
IM-03-04,IM-03,Data Modeling ,Information Management,IM,COMP 2605,Relational data models,COMP 2605
IM-03-05,IM-03,Data Modeling ,Information Management,IM,"COMP 2605,COMP 3607,INFO 2602",Object-oriented models(cross-reference PL/Object-Oriented Programming),"COMP 2605,COMP 3607,INFO 2602"
IM-03-06,IM-03,Data Modeling ,Information Management,IM,COMP 2605,"Semi-structured data model (expressed using DTD or XML Schema, for example)",COMP 2605
IM-04-01,IM-04,Indexing,Information Management,IM,COMP 2605,The impact of indices on query performance,COMP 2605
IM-04-02,IM-04,Indexing,Information Management,IM,COMP 2605,The basic structure of an index,COMP 2605
IM-04-03,IM-04,Indexing,Information Management,IM,COMP 2605,Keeping a buffer of data in memory,COMP 2605
IM-04-04,IM-04,Indexing,Information Management,IM,COMP 2605,Creating indexes with SQL,COMP 2605
IM-04-05,IM-04,Indexing,Information Management,IM,COMP 2605,Indexing text,COMP 2605
IM-04-06,IM-04,Indexing,Information Management,IM,,"Indexing the web (e.g., web crawling)",
IM-05-01,IM-05,Relational Databases ,Information Management,IM,COMP 2605,Mapping conceptual schema to a relational schema,COMP 2605
IM-05-02,IM-05,Relational Databases ,Information Management,IM,COMP 2605,Entity and referential integrity,COMP 2605
IM-05-03,IM-05,Relational Databases ,Information Management,IM,COMP 2605,Relational algebra and relational calculus,COMP 2605
IM-05-04,IM-05,Relational Databases ,Information Management,IM,COMP 2605,Relational Database design,COMP 2605
IM-05-05,IM-05,Relational Databases ,Information Management,IM,COMP 2605,Functional dependency,COMP 2605
IM-05-06,IM-05,Relational Databases ,Information Management,IM,,Decomposition of a schema; lossless-join and dependency-preservation properties of a decomposition,
IM-05-07,IM-05,Relational Databases ,Information Management,IM,COMP 2605,"Candidate keys, superkeys,and closure of a set of attributes",COMP 2605
IM-05-08,IM-05,Relational Databases ,Information Management,IM,COMP 2605,Normal forms (BCNF),COMP 2605
IM-05-09,IM-05,Relational Databases ,Information Management,IM,,Multi-valued dependency (4NF),
IM-05-10,IM-05,Relational Databases ,Information Management,IM,,"Join dependency (PJNF, 5NF)",
IM-05-11,IM-05,Relational Databases ,Information Management,IM,,Representation theory,
IM-06-01,IM-06,Query Languages ,Information Management,IM,COMP 2605,Overview of database languages,COMP 2605
IM-06-02,IM-06,Query Languages ,Information Management,IM,COMP 2605,"SQL (data definition, query formulation, update sublanguage, constraints, integrity)",COMP 2605
IM-06-03,IM-06,Query Languages ,Information Management,IM,COMP 2605,Selections,COMP 2605
IM-06-04,IM-06,Query Languages ,Information Management,IM,COMP 2605,Projections,COMP 2605
IM-06-05,IM-06,Query Languages ,Information Management,IM,COMP 2605,Select-project-join,COMP 2605
IM-06-06,IM-06,Query Languages ,Information Management,IM,COMP 2605,Aggregates andgroup-by ,COMP 2605
IM-06-07,IM-06,Query Languages ,Information Management,IM,COMP 2605,Subqueries,COMP 2605
IM-06-08,IM-06,Query Languages ,Information Management,IM,,QBE and 4th-generation environments,
IM-06-09,IM-06,Query Languages ,Information Management,IM,,Different ways to invoke non-procedural queries in conventional languages,
IM-06-10,IM-06,Query Languages ,Information Management,IM,COMP 2605,"Introduction to other major query languages (e.g., XPATH, SPARQL)",COMP 2605
IM-06-11,IM-06,Query Languages ,Information Management,IM,COMP 2605,Stored procedures,COMP 2605
IM-07-01,IM-07,Transaction Processing ,Information Management,IM,COMP 2605,Transactions ,COMP 2605
IM-07-02,IM-07,Transaction Processing ,Information Management,IM,COMP 2605,Failure and recovery,COMP 2605
IM-07-03,IM-07,Transaction Processing ,Information Management,IM,COMP 2605,Concurrency control,COMP 2605
IM-07-04,IM-07,Transaction Processing ,Information Management,IM,,"Interaction of transaction management with storage, especially buffering",
IM-08-01,IM-08,Distributed Databases ,Information Management,IM,,Distributed DBMS,
IM-08-02,IM-08,Distributed Databases ,Information Management,IM,,Parallel DBMS,
IM-09-01,IM-09,Physical Database Design ,Information Management,IM,COMP 2605,Storage and file structure,COMP 2605
IM-09-02,IM-09,Physical Database Design ,Information Management,IM,COMP 2605,Indexed files,COMP 2605
IM-09-03,IM-09,Physical Database Design ,Information Management,IM,COMP 2605,Hashed files,COMP 2605
IM-09-04,IM-09,Physical Database Design ,Information Management,IM,,Signature files,
IM-09-05,IM-09,Physical Database Design ,Information Management,IM,,B-trees,
IM-09-06,IM-09,Physical Database Design ,Information Management,IM,,Files with dense index,
IM-09-07,IM-09,Physical Database Design ,Information Management,IM,,Files with variable length records,
IM-09-08,IM-09,Physical Database Design ,Information Management,IM,,Database efficiency and tuning,
IM-10-01,IM-10,Data Mining ,Information Management,IM,"COMP 3605,COMP 3610",Usesof data mining,"COMP 3605,COMP 3610"
IM-10-02,IM-10,Data Mining ,Information Management,IM,"COMP 3605,COMP 3610",Data mining algorithms,"COMP 3605,COMP 3610"
IM-10-03,IM-10,Data Mining ,Information Management,IM,"COMP 3605,COMP 3610",Associative and sequential patterns,"COMP 3605,COMP 3610"
IM-10-04,IM-10,Data Mining ,Information Management,IM,"COMP 3605,COMP 3610",Data clustering,"COMP 3605,COMP 3610"
IM-10-05,IM-10,Data Mining ,Information Management,IM,COMP 3605,Market basket analysis,COMP 3605
IM-10-06,IM-10,Data Mining ,Information Management,IM,"COMP 3605,COMP 3610",Data cleaning,"COMP 3605,COMP 3610"
IM-10-07,IM-10,Data Mining ,Information Management,IM,COMP 3610,Data visualization(cross-reference GV/Visualization and CN/Interactive Visualization),COMP 3610
IM-11-01,IM-11,Information Storage and Retrieval,Information Management,IM,COMP 2605,"Documents, electronic publishing, markup, and markup languages",COMP 2605
IM-11-02,IM-11,Information Storage and Retrieval,Information Management,IM,,"Tries, inverted files, PAT trees, signature files, indexing",
IM-11-03,IM-11,Information Storage and Retrieval,Information Management,IM,,"Morphological analysis, stemming, phrases, stop lists",
IM-11-04,IM-11,Information Storage and Retrieval,Information Management,IM,,"Term frequency distributions, uncertainty, fuzziness, weighting",
IM-11-05,IM-11,Information Storage and Retrieval,Information Management,IM,,"Vector space, probabilistic, logical, and advanced models",
IM-11-06,IM-11,Information Storage and Retrieval,Information Management,IM,,"Information needs, relevance, evaluation, effectiveness",
IM-11-07,IM-11,Information Storage and Retrieval,Information Management,IM,,"Thesauri, ontologies, classification and categorization, metadata",
IM-11-08,IM-11,Information Storage and Retrieval,Information Management,IM,,"Bibliographic information, bibliometrics, citations",
IM-11-09,IM-11,Information Storage and Retrieval,Information Management,IM,,Routing and (community) filtering,
IM-11-10,IM-11,Information Storage and Retrieval,Information Management,IM,,"Multimedia search, information seeking behavior, user modeling, feedback",
IM-11-11,IM-11,Information Storage and Retrieval,Information Management,IM,,Information summarization and visualization,
IM-11-12,IM-11,Information Storage and Retrieval,Information Management,IM,,"Faceted search (e.g., using citations, keywords, classification schemes)",
IM-11-13,IM-11,Information Storage and Retrieval,Information Management,IM,,Digital libraries,
IM-11-14,IM-11,Information Storage and Retrieval,Information Management,IM,,"Digitization, storage, interchange, digital objects, composites, and packages",
IM-11-15,IM-11,Information Storage and Retrieval,Information Management,IM,COMP 2605,Metadata and cataloging,COMP 2605
IM-11-16,IM-11,Information Storage and Retrieval,Information Management,IM,COMP 2605,"Naming,repositories, archives",COMP 2605
IM-11-17,IM-11,Information Storage and Retrieval,Information Management,IM,,"Archiving and preservation, integrity",
IM-11-18,IM-11,Information Storage and Retrieval,Information Management,IM,,"Spaces (conceptual, geographical, 2/3D, VR)",
IM-11-19,IM-11,Information Storage and Retrieval,Information Management,IM,,"Architectures (agents, buses, wrappers/mediators), interoperability",
IM-11-20,IM-11,Information Storage and Retrieval,Information Management,IM,,"Services (searching, linking, browsing, and so forth)",
IM-11-21,IM-11,Information Storage and Retrieval,Information Management,IM,,"Intellectual property rightsmanagement, privacy, and protection (watermarking)",
IM-12-01,IM-12,Multimedia Systems,Information Management,IM,,"Input and output devices, device drivers, control signals and protocols, DSPs",
IM-12-02,IM-12,Multimedia Systems,Information Management,IM,,"Standards (e.g., audio, graphics, video)",
IM-12-03,IM-12,Multimedia Systems,Information Management,IM,,"Applications, media editors, authoring systems, and authoring",
IM-12-04,IM-12,Multimedia Systems,Information Management,IM,,"Streams/structures, capture/represent/transform, spaces/domains, compression/coding",
IM-12-05,IM-12,Multimedia Systems,Information Management,IM,,"Content-based analysis, indexing, and retrieval of audio, images, animation, and video",
IM-12-06,IM-12,Multimedia Systems,Information Management,IM,,"Presentation, rendering, synchronization, multi-modal integration/interfaces",
IM-12-07,IM-12,Multimedia Systems,Information Management,IM,,"Real-time delivery, quality of service (including performance), capacity planning, audio/video ",
IS-01-01,IS-01,Fundamental Issues ,Intelligent Systems,IS,COMP 3608,"Overview of AI problems, examples of successful recent AI applications",COMP 3608
IS-01-02,IS-01,Fundamental Issues ,Intelligent Systems,IS,COMP 3608,What is intelligent behavior? ,COMP 3608
IS-01-03,IS-01,Fundamental Issues ,Intelligent Systems,IS,COMP 3608,Problem characteristics,COMP 3608
IS-01-04,IS-01,Fundamental Issues ,Intelligent Systems,IS,COMP 3608,Nature of agents,COMP 3608
IS-01-05,IS-01,Fundamental Issues ,Intelligent Systems,IS,COMP 3608,Philosophical and ethical issues. [elective],COMP 3608
IS-02-01,IS-02,Basic Search Strategies ,Intelligent Systems,IS,COMP 3608,"Problem spaces (states, goals and operators),  problem solving by search",COMP 3608
IS-02-02,IS-02,Basic Search Strategies ,Intelligent Systems,IS,COMP 3608,Factored representation (factoring state into variables),COMP 3608
IS-02-03,IS-02,Basic Search Strategies ,Intelligent Systems,IS,COMP 3608,"Uninformed search (breadth-first, depth-first, depth-first with iterative deepening)  ",COMP 3608
IS-02-04,IS-02,Basic Search Strategies ,Intelligent Systems,IS,COMP 3608,"Heuristics and informed search (hill-climbing, generic best-first, A*)  ",COMP 3608
IS-02-05,IS-02,Basic Search Strategies ,Intelligent Systems,IS,COMP 3608,Space and time efficiency of search  ,COMP 3608
IS-02-06,IS-02,Basic Search Strategies ,Intelligent Systems,IS,,Two-player games (introduction to minimax search)  ,
IS-02-07,IS-02,Basic Search Strategies ,Intelligent Systems,IS,COMP 3608,Constraint satisfaction (backtracking and local search methods) ,COMP 3608
IS-03-01,IS-03,Basic Knowledge Representation and Reasoning ,Intelligent Systems,IS,,Review of propositional and predicate logic (cross-reference DS/Basic Logic),
IS-03-02,IS-03,Basic Knowledge Representation and Reasoning ,Intelligent Systems,IS,,Resolution and theorem proving (propositional logic only),
IS-03-03,IS-03,Basic Knowledge Representation and Reasoning ,Intelligent Systems,IS,COMP 3608,"Forward chaining, backward chaining",COMP 3608
IS-03-04,IS-03,Basic Knowledge Representation and Reasoning ,Intelligent Systems,IS,COMP 3608,"Review of probabilistic reasoning, Bayes theorem (cross-reference with DS/Discrete Probability)",COMP 3608
IS-04-01,IS-04,Basic Machine Learning ,Intelligent Systems,IS,COMP 3608,"Definition and examples of broad variety of machine learning tasks, including classification ",COMP 3608
IS-04-02,IS-04,Basic Machine Learning ,Intelligent Systems,IS,COMP 3608,Inductive learning,COMP 3608
IS-04-03,IS-04,Basic Machine Learning ,Intelligent Systems,IS,"COMP 3605,COMP 3608","Simple statistical-based learning, such as Naive Bayesian Classifier, decision trees","COMP 3605,COMP 3608"
IS-04-04,IS-04,Basic Machine Learning ,Intelligent Systems,IS,"COMP 3605,COMP 3608",The over-fitting problem,"COMP 3605,COMP 3608"
IS-04-05,IS-04,Basic Machine Learning ,Intelligent Systems,IS,"COMP 3605,COMP 3608",Measuring classifier accuracy,"COMP 3605,COMP 3608"
IS-05-01,IS-05,Advanced Search ,Intelligent Systems,IS,,"Constructing search trees, dynamic search space, combinatorial explosion of search space",
IS-05-02,IS-05,Advanced Search ,Intelligent Systems,IS,,Stochastic search,
IS-05-03,IS-05,Advanced Search ,Intelligent Systems,IS,COMP 3608,"Implementation of A* search, beam search",COMP 3608
IS-05-04,IS-05,Advanced Search ,Intelligent Systems,IS,,"Minimax search, alpha-beta pruning",
IS-05-05,IS-05,Advanced Search ,Intelligent Systems,IS,,Expectimax search (MDP-solving) and chance nodes,
IS-06-01,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,Knowledge representation issues,
IS-06-02,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,"Non-monotonic reasoning (e.g., non-classical logics, default reasoning)",
IS-06-03,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,Argumentation,
IS-06-04,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,"Reasoning about action and change (e.g., situation and event calculus)",
IS-06-05,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,Temporal and spatial reasoning,
IS-06-06,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,Rule-based Expert Systems,
IS-06-07,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,Semantic networks,
IS-06-08,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,Model-based and Case-based reasoning,
IS-06-09,IS-06,Advanced Representation and Reasoning,Intelligent Systems,IS,,Planning:,
IS-07-01,IS-07,Reasoning Under Uncertainty,Intelligent Systems,IS,COMP 3608,Review of basic probability (cross-reference DS/Discrete Probability),COMP 3608
IS-07-02,IS-07,Reasoning Under Uncertainty,Intelligent Systems,IS,COMP 3608,Random variables and probability distributions,COMP 3608
IS-07-03,IS-07,Reasoning Under Uncertainty,Intelligent Systems,IS,COMP 3608,Conditional Independence,COMP 3608
IS-07-04,IS-07,Reasoning Under Uncertainty,Intelligent Systems,IS,COMP 3608,Knowledge representations,COMP 3608
IS-07-05,IS-07,Reasoning Under Uncertainty,Intelligent Systems,IS,,Decision Theory,
IS-08-01,IS-08,Agents ,Intelligent Systems,IS,,Definitions of agents,
IS-08-02,IS-08,Agents ,Intelligent Systems,IS,,"Agent architectures (e.g., reactive, layered, cognitive)",
IS-08-03,IS-08,Agents ,Intelligent Systems,IS,,Agent theory,
IS-08-04,IS-08,Agents ,Intelligent Systems,IS,,"Rationality, game theory",
IS-08-05,IS-08,Agents ,Intelligent Systems,IS,,"Software agents, personal assistants, and information access",
IS-08-06,IS-08,Agents ,Intelligent Systems,IS,,Learning agents,
IS-08-07,IS-08,Agents ,Intelligent Systems,IS,,Multi-agent systems,
IS-09-01,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Deterministic and stochastic grammars,
IS-09-02,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Parsing algorithms,
IS-09-03,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Representing meaning / Semantics,
IS-09-04,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Corpus-based methods,
IS-09-05,IS-09,Natural Language Processing ,Intelligent Systems,IS,,N-grams and HMMs,
IS-09-06,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Smoothing and backoff,
IS-09-07,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Examples of use: POS tagging and morphology,
IS-09-08,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Information retrieval (Cross-reference IM/Information Storage and Retrieval),
IS-09-09,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Information extraction,
IS-09-10,IS-09,Natural Language Processing ,Intelligent Systems,IS,,Language translation,
IS-09-11,IS-09,Natural Language Processing ,Intelligent Systems,IS,,"Text classification, categorization",
IS-10-01,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,"COMP 3608,COMP 3610",Definition and examples of broad variety of machine learning tasks,"COMP 3608,COMP 3610"
IS-10-02,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,"General statistical-based learning, parameter estimation (maximum likelihood)",COMP 3608
IS-10-03,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,,Inductive logic programming (ILP),
IS-10-04,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Supervised learning  ,COMP 3608
IS-10-05,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Ensembles,COMP 3608
IS-10-06,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Nearest-neighbor algorithms,COMP 3608
IS-10-07,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Unsupervised Learning and clustering,COMP 3608
IS-10-08,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Semi-supervised learning,COMP 3608
IS-10-09,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Learning graphical models (Cross-reference IS/Reasoning under Uncertainty)  ,COMP 3608
IS-10-10,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,"Performance evaluation (such as cross-validation, area under ROC curve)",COMP 3608
IS-10-11,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Learning theory,COMP 3608
IS-10-12,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,"The problem of overfitting, the curse of dimensionality  ",COMP 3608
IS-10-13,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,COMP 3608,Reinforcement learning ,COMP 3608
IS-10-14,IS-10,Advanced MachineLearning ,Intelligent Systems,IS,"COMP 3608,COMP 3610",Application of Machine Learning algorithms to Data Mining (cross-reference IM/Data Mining),"COMP 3608,COMP 3610"
IS-11-01,IS-11,Robotics,Intelligent Systems,IS,,Overview: problems and progress,
IS-11-02,IS-11,Robotics,Intelligent Systems,IS,,Configuration space and environmental maps,
IS-11-03,IS-11,Robotics,Intelligent Systems,IS,,Interpreting uncertain sensor data,
IS-11-04,IS-11,Robotics,Intelligent Systems,IS,,Localizing and mapping,
IS-11-05,IS-11,Robotics,Intelligent Systems,IS,,Navigation and control,
IS-11-06,IS-11,Robotics,Intelligent Systems,IS,,Motion planning,
IS-11-07,IS-11,Robotics,Intelligent Systems,IS,,Multiple-robot coordination,
IS-12-01,IS-12,Perception and Computer Vision ,Intelligent Systems,IS,,Computer vision,
IS-12-02,IS-12,Perception and Computer Vision ,Intelligent Systems,IS,,Audio and speech recognition,
IS-12-03,IS-12,Perception and Computer Vision ,Intelligent Systems,IS,,Modularity in recognition,
IS-12-04,IS-12,Perception and Computer Vision ,Intelligent Systems,IS,,Approaches to pattern recognition (cross-reference IS/Advanced Machine Learning) ,
IS-13-01,IS-13,Introduction ,Intelligent Systems,IS,,"Organization of the Internet (Internet Service Providers, Content Providers, etc.)",
NC-07-02,NC-07,Introduction ,Net Centric Computing,NC,,Example social network platforms,
NC-07-04,NC-07,Introduction ,Net Centric Computing,NC,,Social network analysis,
NC-07-05,NC-07,Introduction ,Intelligent Systems,IS,,"Roles of the different layers (application, transport, network, datalink, physical)",
NC-07-03,NC-07,Introduction ,Net Centric Computing,NC,,Structure of social network graphs,
NC-01-01,NC-01,Networked Applications ,Net Centric Computing,NC,"COMP 2602,INFO 2602,INFO 1601","Naming and address schemes (DNS, IP addresses, Uniform Resource Identifiers, etc.)","COMP 2602,INFO 2602,INFO 1601"
NC-01-02,NC-01,Networked Applications ,Net Centric Computing,NC,"COMP 2602,INFO 2602","Distributed applications (client/server, peer-to-peer, cloud, etc.)","COMP 2602,INFO 2602"
NC-01-03,NC-01,Networked Applications ,Net Centric Computing,NC,"COMP 2602,INFO 2602,INFO 1601",HTTP as an application layer protocol,"COMP 2602,INFO 2602,INFO 1601"
NC-01-04,NC-01,Networked Applications ,Net Centric Computing,NC,COMP 2602,Multiplexing with TCP and UDP,COMP 2602
NC-01-05,NC-01,Networked Applications ,Net Centric Computing,NC,"COMP 2602,INFO 1601",Socket APIs,"COMP 2602,INFO 1601"
NC-02-01,NC-02,Reliable Data Delivery ,Net Centric Computing,NC,COMP 2602,"Error control (retransmission techniques, timers)",COMP 2602
NC-02-02,NC-02,Reliable Data Delivery ,Net Centric Computing,NC,COMP 2602,"Flow control (acknowledgements, sliding window)",COMP 2602
NC-02-03,NC-02,Reliable Data Delivery ,Net Centric Computing,NC,COMP 2602,Performance issues (pipelining),COMP 2602
NC-02-04,NC-02,Reliable Data Delivery ,Net Centric Computing,NC,COMP 2602,TCP,COMP 2602
NC-03-01,NC-03,Routing and Forwarding ,Net Centric Computing,NC,COMP 2602,Routing versus forwarding,COMP 2602
NC-03-02,NC-03,Routing and Forwarding ,Net Centric Computing,NC,COMP 2602,Static routing,COMP 2602
NC-03-03,NC-03,Routing and Forwarding ,Net Centric Computing,NC,COMP 2602,Internet Protocol (IP),COMP 2602
NC-03-04,NC-03,Routing and Forwarding ,Net Centric Computing,NC,COMP 2602,Scalability issues (hierarchical addressing),COMP 2602
NC-04-01,NC-04,Local Area Networks ,Net Centric Computing,NC,COMP 2602,Multiple Access Problem,COMP 2602
NC-04-02,NC-04,Local Area Networks ,Net Centric Computing,NC,COMP 2602,"Common approaches to multiple access (exponential-backoff, time division multiplexing, etc)",COMP 2602
NC-04-03,NC-04,Local Area Networks ,Net Centric Computing,NC,COMP 2602,Local Area Networks,COMP 2602
NC-04-04,NC-04,Local Area Networks ,Net Centric Computing,NC,COMP 2602,Ethernet,COMP 2602
NC-04-05,NC-04,Local Area Networks ,Net Centric Computing,NC,COMP 2602,Switching,COMP 2602
NC-05-01,NC-05,Resource Allocation,Net Centric Computing,NC,COMP 2602,Need for resource allocation,COMP 2602
NC-05-02,NC-05,Resource Allocation,Net Centric Computing,NC,COMP 2602,"Fixed allocation (TDM, FDM, WDM) versus dynamic allocation",COMP 2602
NC-05-03,NC-05,Resource Allocation,Net Centric Computing,NC,COMP 2602,End-to-end versus network assisted approaches,COMP 2602
NC-05-04,NC-05,Resource Allocation,Net Centric Computing,NC,COMP 2602,Fairness,COMP 2602
NC-05-05,NC-05,Resource Allocation,Net Centric Computing,NC,COMP 2602,Principles of congestion control,COMP 2602
NC-05-06,NC-05,Resource Allocation,Net Centric Computing,NC,COMP 2602,"Approaches to Congestion (e.g., Content Distribution Networks) ",COMP 2602
NC-06-01,NC-06,Mobility,Net Centric Computing,NC,"COMP 3606,COMP 2602",Principles of cellular networks,"COMP 3606,COMP 2602"
NC-06-02,NC-06,Mobility,Net Centric Computing,NC,"COMP 3606,COMP 2602",802.11 networks,"COMP 3606,COMP 2602"
NC-06-03,NC-06,Mobility,Net Centric Computing,NC,"COMP 3606,COMP 2602",Issues in supporting mobile nodes (home agents),"COMP 3606,COMP 2602"
NC-07-01,NC-07,Introduction ,Net Centric Computing,NC,,Social networks overview,
OS-01-01,OS-01,Overview of Operating Systems,Operating System,OS,COMP 2604,Role and purpose of the operating system,COMP 2604
OS-01-02,OS-01,Overview of Operating Systems,Operating System,OS,COMP 2604,Functionality of a typical operating system,COMP 2604
OS-01-03,OS-01,Overview of Operating Systems,Operating System,OS,COMP 2604,"Mechanisms to support client-server models, hand-held devices",COMP 2604
OS-01-04,OS-01,Overview of Operating Systems,Operating System,OS,COMP 2604,"Design issues (efficiency, robustness, flexibility, portability, security, compatibility)",COMP 2604
OS-01-05,OS-01,Overview of Operating Systems,Operating System,OS,COMP 2604,"Influences of security,networking, multimedia, windowing systems",COMP 2604
OS-02-01,OS-02,Operating System Principles ,Operating System,OS,COMP 2604,"Structuring methods (monolithic, layered, modular, micro-kernel models)",COMP 2604
OS-02-02,OS-02,Operating System Principles ,Operating System,OS,COMP 2604,"Abstractions, processes, and resources",COMP 2604
OS-02-03,OS-02,Operating System Principles ,Operating System,OS,COMP 2604,Concepts of application program interfaces (APIs),COMP 2604
OS-02-04,OS-02,Operating System Principles ,Operating System,OS,COMP 2604,The evolution of hardware/software techniquesand application needs,COMP 2604
OS-02-05,OS-02,Operating System Principles ,Operating System,OS,COMP 2604,Device organization,COMP 2604
OS-02-06,OS-02,Operating System Principles ,Operating System,OS,COMP 2604,Interrupts: methods and implementations,COMP 2604
OS-02-07,OS-02,Operating System Principles ,Operating System,OS,COMP 2604,"Concept of user/system state and protection, transition to kernel mode",COMP 2604
OS-03-01,OS-03,Concurrency ,Operating System,OS,,States and state diagrams (cross-reference SF/Stateand State Machines),
OS-03-02,OS-03,Concurrency ,Operating System,OS,COMP 2604,"Structures (ready list, process control blocks, and so forth)",COMP 2604
OS-03-03,OS-03,Concurrency ,Operating System,OS,COMP 2604,Dispatching and context switching,COMP 2604
OS-03-04,OS-03,Concurrency ,Operating System,OS,COMP 2604,The role of interrupts,COMP 2604
OS-03-05,OS-03,Concurrency ,Operating System,OS,COMP 2604,Managing atomic access to OS objects,COMP 2604
OS-03-06,OS-03,Concurrency ,Operating System,OS,COMP 2604,Implementing synchronization primitives,COMP 2604
OS-03-07,OS-03,Concurrency ,Operating System,OS,COMP 2604,"Multiprocessor issues (spin-locks, reentrancy) (cross-reference SF/Parallelism)",COMP 2604
OS-04-01,OS-04,Scheduling and Dispatch ,Operating System,OS,COMP 2604,"Preemptive and non-preemptive scheduling (cross-reference SF/Resource Allocation and Scheduling, ",COMP 2604
OS-04-02,OS-04,Scheduling and Dispatch ,Operating System,OS,COMP 2604,"Schedulers and policies (cross-reference SF/Resource Allocation and Scheduling, PD/Parallel ",COMP 2604
OS-04-03,OS-04,Scheduling and Dispatch ,Operating System,OS,COMP 2604,Processes and threads (cross-reference SF/ C omputational paradigms),COMP 2604
OS-04-04,OS-04,Scheduling and Dispatch ,Operating System,OS,COMP 2604,Deadlines and real-time issues,COMP 2604
OS-05-01,OS-05,Memory Management ,Operating System,OS,"COMP 2604,COMP 2601",Review of physical memory and memory management hardware,"COMP 2604,COMP 2601"
OS-05-02,OS-05,Memory Management ,Operating System,OS,COMP 2604,Working sets and thrashing,COMP 2604
OS-05-03,OS-05,Memory Management ,Operating System,OS,"COMP 2604,COMP 2601",Caching(cross-reference AR/Memory System Organization and Architecture),"COMP 2604,COMP 2601"
OS-06-01,OS-06,Security and Protection ,Operating System,OS,COMP 2604,Overview of system security,COMP 2604
OS-06-02,OS-06,Security and Protection ,Operating System,OS,COMP 2604,Policy/mechanism separation,COMP 2604
OS-06-03,OS-06,Security and Protection ,Operating System,OS,COMP 2604,Security methods and devices,COMP 2604
OS-06-04,OS-06,Security and Protection ,Operating System,OS,COMP 2604,"Protection, access control, and authentication",COMP 2604
OS-06-05,OS-06,Security and Protection ,Operating System,OS,,Backups,
OS-07-01,OS-07,Virtual Machines ,Operating System,OS,COMP 2604,"Types of virtualization (including Hardware/Software, OS, Server, Service, Network) ",COMP 2604
OS-07-02,OS-07,Virtual Machines ,Operating System,OS,COMP 2604,Paging and virtual memory,COMP 2604
OS-07-03,OS-07,Virtual Machines ,Operating System,OS,COMP 2604,Virtual file systems,COMP 2604
OS-07-04,OS-07,Virtual Machines ,Operating System,OS,COMP 2604,Hypervisors ,COMP 2604
