topicId,topic,domainId,subdomain,subdomainId,domain,tier,courses
IAS-10-05,Secure testing - the process of testing that security requirements are met (including static and dynamic ,IAS,Secure Software Engineering,IAS-10,Information Assurance and Security,Elective,
IAS-10-06,Software quality assurance andbenchmarking measurements,IAS,Secure Software Engineering,IAS-10,Information Assurance and Security,Elective,
IM-01-01,Information systems as socio-technical systems,IM,InformationManagementConcepts,IM-01,Information Management,Tier 1,
IM-01-02,Basic information storage and retrieval(IS&R) concepts,IM,InformationManagementConcepts,IM-01,Information Management,Tier 1,
IM-01-03,Information capture and representation,IM,InformationManagementConcepts,IM-01,Information Management,Tier 1,
IM-01-04,"Supporting human needs: searching, retrieving, linking, browsing, navigating",IM,InformationManagementConcepts,IM-01,Information Management,Tier 1,
IM-01-05,Information management applications ,IM,InformationManagementConcepts,IM-01,Information Management,Tier 2,
IM-01-06,"Declarative and navigational queries, use of links",IM,InformationManagementConcepts,IM-01,Information Management,Tier 2,
IM-01-07,Analysis and indexing,IM,InformationManagementConcepts,IM-01,Information Management,Tier 2,
IM-01-08,"Quality issues: reliability, scalability, efficiency, and effectiveness",IM,InformationManagementConcepts,IM-01,Information Management,Tier 2,
IM-02-01,Approaches to and evolution of database systems,IM,Database Systems ,IM-02,Information Management,Tier 2,
IM-02-02,Components of database systems ,IM,Database Systems ,IM-02,Information Management,Tier 2,COMP 2605
IM-02-03,"Design of core DBMS functions (e.g., query mechanisms, transaction management, buffer management, ",IM,Database Systems ,IM-02,Information Management,Tier 2,
IM-02-04,Database architecture and data independence,IM,Database Systems ,IM-02,Information Management,Tier 2,
IM-02-05,Use of a declarative query language,IM,Database Systems ,IM-02,Information Management,Tier 2,"COMP 2605,INFO 2602"
IM-02-06,Systems supporting structured and/or stream content,IM,Database Systems ,IM-02,Information Management,Tier 2,
IM-02-07,"Approaches for managing large volumes of data (e.g., noSQL database systems, use of MapReduce). ",IM,Database Systems ,IM-02,Information Management,Elective,COMP 3613
IM-03-01,Data modeling,IM,Data Modeling ,IM-03,Information Management,Tier 2,"COMP 2605,INFO 2602"
IM-03-02,"Conceptual models (e.g., entity-relationship, UML diagrams) ",IM,Data Modeling ,IM-03,Information Management,Tier 2,"COMP 2605,COMP 3607"
IM-03-03,Spreadsheet models,IM,Data Modeling ,IM-03,Information Management,Tier 2,
IM-03-04,Relational data models,IM,Data Modeling ,IM-03,Information Management,Tier 2,COMP 2605
IM-03-05,Object-oriented models(cross-reference PL/Object-Oriented Programming),IM,Data Modeling ,IM-03,Information Management,Tier 2,COMP 3607
IM-03-06,"Semi-structured data model (expressed using DTD or XML Schema, for example)",IM,Data Modeling ,IM-03,Information Management,Tier 2,INFO 2602
IM-04-01,The impact of indices on query performance,IM,Indexing,IM-04,Information Management,Elective,
IM-04-02,The basic structure of an index,IM,Indexing,IM-04,Information Management,Elective,
IM-04-03,Keeping a buffer of data in memory,IM,Indexing,IM-04,Information Management,Elective,
IM-04-04,Creating indexes with SQL,IM,Indexing,IM-04,Information Management,Elective,COMP 2605
IM-04-05,Indexing text,IM,Indexing,IM-04,Information Management,Elective,
IM-04-06,"Indexing the web (e.g., web crawling)",IM,Indexing,IM-04,Information Management,Elective,
IM-05-01,Mapping conceptual schema to a relational schema,IM,Relational Databases ,IM-05,Information Management,Elective,COMP 2605
IM-05-02,Entity and referential integrity,IM,Relational Databases ,IM-05,Information Management,Elective,COMP 2605
IM-05-03,Relational algebra and relational calculus,IM,Relational Databases ,IM-05,Information Management,Elective,COMP 2605
IM-05-04,Relational Database design,IM,Relational Databases ,IM-05,Information Management,Elective,COMP 2605
IM-05-05,Functional dependency,IM,Relational Databases ,IM-05,Information Management,Elective,COMP 2605
IM-05-06,Decomposition of a schema; lossless-join and dependency-preservation properties of a decomposition,IM,Relational Databases ,IM-05,Information Management,Elective,
IM-05-07,"Candidate keys, superkeys,and closure of a set of attributes",IM,Relational Databases ,IM-05,Information Management,Elective,COMP 2605
IM-05-08,Normal forms (BCNF),IM,Relational Databases ,IM-05,Information Management,Elective,
IM-05-09,Multi-valued dependency (4NF),IM,Relational Databases ,IM-05,Information Management,Elective,
IM-05-10,"Join dependency (PJNF, 5NF)",IM,Relational Databases ,IM-05,Information Management,Elective,
IM-05-11,Representation theory,IM,Relational Databases ,IM-05,Information Management,Elective,
IM-06-01,Overview of database languages,IM,Query Languages ,IM-06,Information Management,Elective,
IM-06-02,"SQL (data definition, query formulation, update sublanguage, constraints, integrity)",IM,Query Languages ,IM-06,Information Management,Elective,"COMP 2605,INFO 2602"
IM-06-03,Selections,IM,Query Languages ,IM-06,Information Management,Elective,COMP 2605
IM-06-04,Projections,IM,Query Languages ,IM-06,Information Management,Elective,COMP 2605
IM-06-05,Select-project-join,IM,Query Languages ,IM-06,Information Management,Elective,"COMP 2605,COMP 1600"
IM-06-06,Aggregates andgroup-by ,IM,Query Languages ,IM-06,Information Management,Elective,COMP 2605
IM-06-07,Subqueries,IM,Query Languages ,IM-06,Information Management,Elective,COMP 2605
IM-06-08,QBE and 4th-generation environments,IM,Query Languages ,IM-06,Information Management,Elective,
IM-06-09,Different ways to invoke non-procedural queries in conventional languages,IM,Query Languages ,IM-06,Information Management,Elective,
IM-06-10,"Introduction to other major query languages (e.g., XPATH, SPARQL)",IM,Query Languages ,IM-06,Information Management,Elective,
IM-06-11,Stored procedures,IM,Query Languages ,IM-06,Information Management,Elective,
IM-07-01,Transactions ,IM,Transaction Processing ,IM-07,Information Management,Elective,COMP 2605
IM-07-02,Failure and recovery,IM,Transaction Processing ,IM-07,Information Management,Elective,COMP 2605
IM-07-03,Concurrency control,IM,Transaction Processing ,IM-07,Information Management,Elective,COMP 2605
IM-07-04,"Interaction of transaction management with storage, especially buffering",IM,Transaction Processing ,IM-07,Information Management,Elective,
IM-08-01,Distributed DBMS,IM,Distributed Databases ,IM-08,Information Management,Elective,
IM-08-02,Parallel DBMS,IM,Distributed Databases ,IM-08,Information Management,Elective,COMP 3610
IM-09-01,Storage and file structure,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-09-02,Indexed files,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-09-03,Hashed files,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-09-04,Signature files,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-09-05,B-trees,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-09-06,Files with dense index,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-09-07,Files with variable length records,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-09-08,Database efficiency and tuning,IM,Physical Database Design ,IM-09,Information Management,Elective,
IM-10-01,Usesof data mining,IM,Data Mining ,IM-10,Information Management,Elective,
IM-10-02,Data mining algorithms,IM,Data Mining ,IM-10,Information Management,Elective,
IM-10-03,Associative and sequential patterns,IM,Data Mining ,IM-10,Information Management,Elective,
IM-10-04,Data clustering,IM,Data Mining ,IM-10,Information Management,Elective,
IM-10-05,Market basket analysis,IM,Data Mining ,IM-10,Information Management,Elective,
IM-10-06,Data cleaning,IM,Data Mining ,IM-10,Information Management,Elective,
IM-10-07,Data visualization(cross-reference GV/Visualization and CN/Interactive Visualization),IM,Data Mining ,IM-10,Information Management,Elective,
IM-11-01,"Documents, electronic publishing, markup, and markup languages",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-02,"Tries, inverted files, PAT trees, signature files, indexing",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-03,"Morphological analysis, stemming, phrases, stop lists",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-04,"Term frequency distributions, uncertainty, fuzziness, weighting",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-05,"Vector space, probabilistic, logical, and advanced models",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-06,"Information needs, relevance, evaluation, effectiveness",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-07,"Thesauri, ontologies, classification and categorization, metadata",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-08,"Bibliographic information, bibliometrics, citations",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-09,Routing and (community) filtering,IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-10,"Multimedia search, information seeking behavior, user modeling, feedback",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-11,Information summarization and visualization,IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-12,"Faceted search (e.g., using citations, keywords, classification schemes)",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-13,Digital libraries,IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-14,"Digitization, storage, interchange, digital objects, composites, and packages",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-15,Metadata and cataloging,IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-16,"Naming,repositories, archives",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-17,"Archiving and preservation, integrity",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-18,"Spaces (conceptual, geographical, 2/3D, VR)",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-19,"Architectures (agents, buses, wrappers/mediators), interoperability",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-20,"Services (searching, linking, browsing, and so forth)",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-11-21,"Intellectual property rightsmanagement, privacy, and protection (watermarking)",IM,Information Storage and Retrieval,IM-11,Information Management,Elective,
IM-12-01,"Input and output devices, device drivers, control signals and protocols, DSPs",IM,Multimedia Systems,IM-12,Information Management,Elective,
IM-12-02,"Standards (e.g., audio, graphics, video)",IM,Multimedia Systems,IM-12,Information Management,Elective,
IM-12-03,"Applications, media editors, authoring systems, and authoring",IM,Multimedia Systems,IM-12,Information Management,Elective,
IM-12-04,"Streams/structures, capture/represent/transform, spaces/domains, compression/coding",IM,Multimedia Systems,IM-12,Information Management,Elective,INFO 2602
IM-12-05,"Content-based analysis, indexing, and retrieval of audio, images, animation, and video",IM,Multimedia Systems,IM-12,Information Management,Elective,
IM-12-06,"Presentation, rendering, synchronization, multi-modal integration/interfaces",IM,Multimedia Systems,IM-12,Information Management,Elective,
IM-12-07,"Real-time delivery, quality of service (including performance), capacity planning, audio/video ",IM,Multimedia Systems,IM-12,Information Management,Elective,
IS-01-01,"Overview of AI problems, examples of successful recent AI applications",IS,Fundamental Issues ,IS-01,Intelligent Systems,Tier 2,COMP 3608
IS-01-02,What is intelligent behavior? ,IS,Fundamental Issues ,IS-01,Intelligent Systems,Tier 2,COMP 3608
IS-01-03,Problem characteristics,IS,Fundamental Issues ,IS-01,Intelligent Systems,Tier 2,COMP 3608
IS-01-04,Nature of agents,IS,Fundamental Issues ,IS-01,Intelligent Systems,Tier 2,COMP 3608
IS-01-05,Philosophical and ethical issues. [elective],IS,Fundamental Issues ,IS-01,Intelligent Systems,Tier 2,COMP 3608
IS-02-01,"Problem spaces (states, goals and operators),  problem solving by search",IS,Basic Search Strategies ,IS-02,Intelligent Systems,Tier 2,COMP 3608
IS-02-02,Factored representation (factoring state into variables),IS,Basic Search Strategies ,IS-02,Intelligent Systems,Tier 2,COMP 3608
IS-02-03,"Uninformed search (breadth-first, depth-first, depth-first with iterative deepening)  ",IS,Basic Search Strategies ,IS-02,Intelligent Systems,Tier 2,COMP 3608
IS-02-04,"Heuristics and informed search (hill-climbing, generic best-first, A*)  ",IS,Basic Search Strategies ,IS-02,Intelligent Systems,Tier 2,COMP 3608
IS-02-05,Space and time efficiency of search  ,IS,Basic Search Strategies ,IS-02,Intelligent Systems,Tier 2,COMP 3608
IS-02-06,Two-player games (introduction to minimax search)  ,IS,Basic Search Strategies ,IS-02,Intelligent Systems,Tier 2,COMP 3608
IS-02-07,Constraint satisfaction (backtracking and local search methods) ,IS,Basic Search Strategies ,IS-02,Intelligent Systems,Tier 2,COMP 3608
IS-03-01,Review of propositional and predicate logic (cross-reference DS/Basic Logic),IS,Basic Knowledge Representation and Reasoning ,IS-03,Intelligent Systems,Tier 2,
IS-03-02,Resolution and theorem proving (propositional logic only),IS,Basic Knowledge Representation and Reasoning ,IS-03,Intelligent Systems,Tier 2,
IS-03-03,"Forward chaining, backward chaining",IS,Basic Knowledge Representation and Reasoning ,IS-03,Intelligent Systems,Tier 2,
IS-03-04,"Review of probabilistic reasoning, Bayes theorem (cross-reference with DS/Discrete Probability)",IS,Basic Knowledge Representation and Reasoning ,IS-03,Intelligent Systems,Tier 2,COMP 3608
IS-04-01,"Definition and examples of broad variety of machine learning tasks, including classification ",IS,Basic Machine Learning ,IS-04,Intelligent Systems,Tier 2,COMP 3608
IS-04-02,Inductive learning,IS,Basic Machine Learning ,IS-04,Intelligent Systems,Tier 2,COMP 3608
IS-04-03,"Simple statistical-based learning, such as Naive Bayesian Classifier, decision trees",IS,Basic Machine Learning ,IS-04,Intelligent Systems,Tier 2,COMP 3608
IS-04-04,The over-fitting problem,IS,Basic Machine Learning ,IS-04,Intelligent Systems,Tier 2,COMP 3608
IS-04-05,Measuring classifier accuracy,IS,Basic Machine Learning ,IS-04,Intelligent Systems,Tier 2,COMP 3608
IS-05-01,"Constructing search trees, dynamic search space, combinatorial explosion of search space",IS,Advanced Search ,IS-05,Intelligent Systems,Elective,
IS-05-02,Stochastic search,IS,Advanced Search ,IS-05,Intelligent Systems,Elective,
IS-05-03,"Implementation of A* search, beam search",IS,Advanced Search ,IS-05,Intelligent Systems,Elective,COMP 3608
IS-05-04,"Minimax search, alpha-beta pruning",IS,Advanced Search ,IS-05,Intelligent Systems,Elective,
IS-05-05,Expectimax search (MDP-solving) and chance nodes,IS,Advanced Search ,IS-05,Intelligent Systems,Elective,
IS-06-01,Knowledge representation issues,IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-02,"Non-monotonic reasoning (e.g., non-classical logics, default reasoning)",IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-03,Argumentation,IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-04,"Reasoning about action and change (e.g., situation and event calculus)",IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-05,Temporal and spatial reasoning,IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-06,Rule-based Expert Systems,IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-07,Semantic networks,IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-08,Model-based and Case-based reasoning,IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-06-09,Planning:,IS,Advanced Representation and Reasoning,IS-06,Intelligent Systems,Elective,
IS-07-01,Review of basic probability (cross-reference DS/Discrete Probability),IS,Reasoning Under Uncertainty,IS-07,Intelligent Systems,Elective,COMP 3608
IS-07-02,Random variables and probability distributions,IS,Reasoning Under Uncertainty,IS-07,Intelligent Systems,Elective,"COMP 3608,COMP 1602"
IS-07-03,Conditional Independence,IS,Reasoning Under Uncertainty,IS-07,Intelligent Systems,Elective,COMP 3608
IS-07-04,Knowledge representations,IS,Reasoning Under Uncertainty,IS-07,Intelligent Systems,Elective,COMP 3608
IS-07-05,Decision Theory,IS,Reasoning Under Uncertainty,IS-07,Intelligent Systems,Elective,COMP 3608
IS-08-01,Definitions of agents,IS,Agents ,IS-08,Intelligent Systems,Elective,
IS-08-02,"Agent architectures (e.g., reactive, layered, cognitive)",IS,Agents ,IS-08,Intelligent Systems,Elective,
IS-08-03,Agent theory,IS,Agents ,IS-08,Intelligent Systems,Elective,
IS-08-04,"Rationality, game theory",IS,Agents ,IS-08,Intelligent Systems,Elective,
IS-08-05,"Software agents, personal assistants, and information access",IS,Agents ,IS-08,Intelligent Systems,Elective,
IS-08-06,Learning agents,IS,Agents ,IS-08,Intelligent Systems,Elective,
IS-08-07,Multi-agent systems,IS,Agents ,IS-08,Intelligent Systems,Elective,
IS-09-01,Deterministic and stochastic grammars,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-02,Parsing algorithms,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-03,Representing meaning / Semantics,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-04,Corpus-based methods,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-05,N-grams and HMMs,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-06,Smoothing and backoff,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-07,Examples of use: POS tagging and morphology,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-08,Information retrieval (Cross-reference IM/Information Storage and Retrieval),IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-09,Information extraction,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-10,Language translation,IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-09-11,"Text classification, categorization",IS,Natural Language Processing ,IS-09,Intelligent Systems,Elective,
IS-10-01,Definition and examples of broad variety of machine learning tasks,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,COMP 3608
IS-10-02,"General statistical-based learning, parameter estimation (maximum likelihood)",IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,COMP 3608
IS-10-03,Inductive logic programming (ILP),IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-10-04,Supervised learning  ,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,COMP 3608
IS-10-05,Ensembles,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-10-06,Nearest-neighbor algorithms,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-10-07,Unsupervised Learning and clustering,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,COMP 3608
IS-10-08,Semi-supervised learning,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-10-09,Learning graphical models (Cross-reference IS/Reasoning under Uncertainty)  ,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-10-10,"Performance evaluation (such as cross-validation, area under ROC curve)",IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,COMP 3608
IS-10-11,Learning theory,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-10-12,"The problem of overfitting, the curse of dimensionality  ",IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,COMP 3608
IS-10-13,Reinforcement learning ,IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-10-14,Application of Machine Learning algorithms to Data Mining (cross-reference IM/Data Mining),IS,Advanced MachineLearning ,IS-10,Intelligent Systems,Elective,
IS-11-01,Overview: problems and progress,IS,Robotics,IS-11,Intelligent Systems,Elective,
IS-11-02,Configuration space and environmental maps,IS,Robotics,IS-11,Intelligent Systems,Elective,
IS-11-03,Interpreting uncertain sensor data,IS,Robotics,IS-11,Intelligent Systems,Elective,
IS-11-04,Localizing and mapping,IS,Robotics,IS-11,Intelligent Systems,Elective,
IS-11-05,Navigation and control,IS,Robotics,IS-11,Intelligent Systems,Elective,
IS-11-06,Motion planning,IS,Robotics,IS-11,Intelligent Systems,Elective,
IS-11-07,Multiple-robot coordination,IS,Robotics,IS-11,Intelligent Systems,Elective,
IS-12-01,Computer vision,IS,Perception and Computer Vision ,IS-12,Intelligent Systems,Elective,
IS-12-02,Audio and speech recognition,IS,Perception and Computer Vision ,IS-12,Intelligent Systems,Elective,
IS-12-03,Modularity in recognition,IS,Perception and Computer Vision ,IS-12,Intelligent Systems,Elective,
IS-12-04,Approaches to pattern recognition (cross-reference IS/Advanced Machine Learning) ,IS,Perception and Computer Vision ,IS-12,Intelligent Systems,Elective,
NC-13-01,"Organization of the Internet (Internet Service Providers, Content Providers, etc.)",IS,Introduction ,NC-13,Net Centric Computing,Tier 1,
NC-01-01,"Naming and address schemes (DNS, IP addresses, Uniform Resource Identifiers, etc.)",NC,Networked Applications ,NC-01,Net Centric Computing,Tier 1,"COMP 2602,INFO 2603"
NC-01-02,"Distributed applications (client/server, peer-to-peer, cloud, etc.)",NC,Networked Applications ,NC-01,Net Centric Computing,Tier 1,COMP 2602
NC-01-03,HTTP as an application layer protocol,NC,Networked Applications ,NC-01,Net Centric Computing,Tier 1,COMP 2602
NC-01-04,Multiplexing with TCP and UDP,NC,Networked Applications ,NC-01,Net Centric Computing,Tier 1,COMP 2602
NC-01-05,Socket APIs,NC,Networked Applications ,NC-01,Net Centric Computing,Tier 1,COMP 2602
NC-02-01,"Error control (retransmission techniques, timers)",NC,Reliable Data Delivery ,NC-02,Net Centric Computing,Tier 2,COMP 2602
NC-02-02,"Flow control (acknowledgements, sliding window)",NC,Reliable Data Delivery ,NC-02,Net Centric Computing,Tier 2,COMP 2602
NC-02-03,Performance issues (pipelining),NC,Reliable Data Delivery ,NC-02,Net Centric Computing,Tier 2,
NC-02-04,TCP,NC,Reliable Data Delivery ,NC-02,Net Centric Computing,Tier 2,COMP 2602
NC-03-01,Routing versus forwarding,NC,Routing and Forwarding ,NC-03,Net Centric Computing,Tier 2,INFO 2601
NC-03-02,Static routing,NC,Routing and Forwarding ,NC-03,Net Centric Computing,Tier 2,
NC-03-03,Internet Protocol (IP),NC,Routing and Forwarding ,NC-03,Net Centric Computing,Tier 2,COMP 2602
NC-03-04,Scalability issues (hierarchical addressing),NC,Routing and Forwarding ,NC-03,Net Centric Computing,Tier 2,
NC-04-01,Multiple Access Problem,NC,Local Area Networks ,NC-04,Net Centric Computing,Tier 2,COMP 2602
NC-04-02,"Common approaches to multiple access (exponential-backoff, time division multiplexing, etc)",NC,Local Area Networks ,NC-04,Net Centric Computing,Tier 2,
NC-04-03,Local Area Networks,NC,Local Area Networks ,NC-04,Net Centric Computing,Tier 2,COMP 2602
NC-04-04,Ethernet,NC,Local Area Networks ,NC-04,Net Centric Computing,Tier 2,COMP 2602
NC-04-05,Switching,NC,Local Area Networks ,NC-04,Net Centric Computing,Tier 2,COMP 2602
NC-05-01,Need for resource allocation,NC,Resource Allocation,NC-05,Net Centric Computing,Tier 2,
NC-05-02,"Fixed allocation (TDM, FDM, WDM) versus dynamic allocation",NC,Resource Allocation,NC-05,Net Centric Computing,Tier 2,COMP 2602
NC-05-03,End-to-end versus network assisted approaches,NC,Resource Allocation,NC-05,Net Centric Computing,Tier 2,
NC-05-04,Fairness,NC,Resource Allocation,NC-05,Net Centric Computing,Tier 2,
NC-05-05,Principles of congestion control,NC,Resource Allocation,NC-05,Net Centric Computing,Tier 2,COMP 2602
NC-05-06,"Approaches to Congestion (e.g., Content Distribution Networks) ",NC,Resource Allocation,NC-05,Net Centric Computing,Tier 2,COMP 2602
NC-06-01,Principles of cellular networks,NC,Mobility,NC-06,Net Centric Computing,Tier 2,"COMP 3606,COMP 2602"
NC-06-02,802.11 networks,NC,Mobility,NC-06,Net Centric Computing,Tier 2,COMP 3606
NC-06-03,Issues in supporting mobile nodes (home agents),NC,Mobility,NC-06,Net Centric Computing,Tier 2,
NC-07-01,Social networks overview,NC,Social Networking,NC-07,Net Centric Computing,Elective,
NC-07-02,Example social network platforms,NC,Social Networking,NC-07,Net Centric Computing,Elective,
NC-07-03,Structure of social network graphs,NC,Social Networking,NC-07,Net Centric Computing,Elective,
NC-07-04,Social network analysis,NC,Social Networking,NC-07,Net Centric Computing,Elective,
NC-07-02,"Switching techniques (e.g., circuit, packet)",IS,Introduction ,NC-07,Net Centric Computing,Tier 1,COMP 2602
NC-07-04,"Layering principles (encapsulation, multiplexing)",IS,Introduction ,NC-07,Net Centric Computing,Tier 1,COMP 2602
NC-07-05,"Roles of the different layers (application, transport, network, datalink, physical)",IS,Introduction ,NC-07,Net Centric Computing,Tier 1,COMP 2602
NC-07-03,"Physical pieces of a network, including hosts, routers, switches, ISPs, wireless, LAN, access point, and ",IS,Introduction ,NC-07,Net Centric Computing,Tier 1,COMP 2602
OS-01-01,Role and purpose of the operating system,OS,Overview of Operating Systems,OS-01,Operating System,Tier 1,"COMP 2604,INFO 2603"
OS-01-02,Functionality of a typical operating system,OS,Overview of Operating Systems,OS-01,Operating System,Tier 1,"COMP 3606,COMP 1600,COMP 2604,INFO 2603"
OS-01-03,"Mechanisms to support client-server models, hand-held devices",OS,Overview of Operating Systems,OS-01,Operating System,Tier 1,"COMP 3606,INFO 2603"
OS-01-04,"Design issues (efficiency, robustness, flexibility, portability, security, compatibility)",OS,Overview of Operating Systems,OS-01,Operating System,Tier 1,INFO 2603
OS-01-05,"Influences of security,networking, multimedia, windowing systems",OS,Overview of Operating Systems,OS-01,Operating System,Tier 1,
OS-02-01,"Structuring methods (monolithic, layered, modular, micro-kernel models)",OS,Operating System Principles ,OS-02,Operating System,Tier 1,
OS-02-02,"Abstractions, processes, and resources",OS,Operating System Principles ,OS-02,Operating System,Tier 1,"COMP 2604,INFO 2603"
OS-02-03,Concepts of application program interfaces (APIs),OS,Operating System Principles ,OS-02,Operating System,Tier 1,"COMP 3606,COMP 2604"
OS-02-04,The evolution of hardware/software techniquesand application needs,OS,Operating System Principles ,OS-02,Operating System,Tier 1,
OS-02-05,Device organization,OS,Operating System Principles ,OS-02,Operating System,Tier 1,
OS-02-06,Interrupts: methods and implementations,OS,Operating System Principles ,OS-02,Operating System,Tier 1,COMP 2604
OS-02-07,"Concept of user/system state and protection, transition to kernel mode",OS,Operating System Principles ,OS-02,Operating System,Tier 1,COMP 2604
OS-03-01,States and state diagrams (cross-reference SF/Stateand State Machines),OS,Concurrency ,OS-03,Operating System,Tier 2,
OS-03-02,"Structures (ready list, process control blocks, and so forth)",OS,Concurrency ,OS-03,Operating System,Tier 2,
OS-03-03,Dispatching and context switching,OS,Concurrency ,OS-03,Operating System,Tier 2,COMP 2604
OS-03-04,The role of interrupts,OS,Concurrency ,OS-03,Operating System,Tier 2,COMP 2604
OS-03-05,Managing atomic access to OS objects,OS,Concurrency ,OS-03,Operating System,Tier 2,
OS-03-06,Implementing synchronization primitives,OS,Concurrency ,OS-03,Operating System,Tier 2,COMP 2604
OS-03-07,"Multiprocessor issues (spin-locks, reentrancy) (cross-reference SF/Parallelism)",OS,Concurrency ,OS-03,Operating System,Tier 2,
OS-04-01,"Preemptive and non-preemptive scheduling (cross-reference SF/Resource Allocation and Scheduling, ",OS,Scheduling and Dispatch ,OS-04,Operating System,Tier 2,COMP 2604
OS-04-02,"Schedulers and policies (cross-reference SF/Resource Allocation and Scheduling, PD/Parallel ",OS,Scheduling and Dispatch ,OS-04,Operating System,Tier 2,COMP 2604
OS-04-03,Processes and threads (cross-reference SF/ C omputational paradigms),OS,Scheduling and Dispatch ,OS-04,Operating System,Tier 2,COMP 2604
OS-04-04,Deadlines and real-time issues,OS,Scheduling and Dispatch ,OS-04,Operating System,Tier 2,
OS-05-01,Review of physical memory and memory management hardware,OS,Memory Management ,OS-05,Operating System,Tier 2,"COMP 2604,INFO 2603"
OS-05-02,Working sets and thrashing,OS,Memory Management ,OS-05,Operating System,Tier 2,COMP 2604
OS-05-03,Caching(cross-reference AR/Memory System Organization and Architecture),OS,Memory Management ,OS-05,Operating System,Tier 2,COMP 2604
OS-06-01,Overview of system security,OS,Security and Protection ,OS-06,Operating System,Tier 2,
OS-06-02,Policy/mechanism separation,OS,Security and Protection ,OS-06,Operating System,Tier 2,
OS-06-03,Security methods and devices,OS,Security and Protection ,OS-06,Operating System,Tier 2,
OS-06-04,"Protection, access control, and authentication",OS,Security and Protection ,OS-06,Operating System,Tier 2,
OS-06-05,Backups,OS,Security and Protection ,OS-06,Operating System,Tier 2,
